,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Cabin_num,Side
34,Mars,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,F,9,P
35,Mars,0,TRAPPIST-1e,20.0,0,,0.0,1750.0,990.0,0.0,1,F,9,P
36,Europa,1,55 Cancri e,28.0,0,0.0,0.0,0.0,0.0,0.0,1,D,1,S
37,Mars,0,55 Cancri e,23.0,0,784.0,964.0,0.0,951.0,0.0,0,D,1,P
38,Earth,0,55 Cancri e,15.0,0,0.0,492.0,48.0,20.0,401.0,0,F,8,S
39,Earth,0,55 Cancri e,20.0,0,554.0,195.0,0.0,2606.0,0.0,0,F,10,S
40,Earth,1,55 Cancri e,30.0,0,0.0,0.0,0.0,0.0,0.0,0,G,1,P
41,Earth,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,1,G,2,P
43,Earth,1,TRAPPIST-1e,55.0,0,0.0,0.0,0.0,0.0,0.0,0,G,3,P
44,Earth,1,55 Cancri e,4.0,0,0.0,0.0,0.0,0.0,0.0,1,G,3,P
45,Earth,1,PSO J318.5-22,21.0,0,0.0,0.0,0.0,0.0,0.0,1,G,3,P
47,Mars,1,,19.0,0,0.0,0.0,0.0,0.0,0.0,1,F,10,P
48,Earth,0,55 Cancri e,35.0,0,790.0,0.0,0.0,0.0,0.0,0,E,1,S
49,Earth,0,TRAPPIST-1e,56.0,0,0.0,112.0,0.0,1379.0,127.0,0,E,2,S
50,Earth,0,TRAPPIST-1e,,0,4.0,0.0,2.0,4683.0,0.0,0,G,6,S
51,Earth,0,TRAPPIST-1e,25.0,0,0.0,0.0,1938.0,0.0,1.0,1,F,11,S
52,Europa,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,A,1,S
53,Europa,1,TRAPPIST-1e,38.0,0,0.0,0.0,0.0,0.0,0.0,1,A,1,S
54,Europa,0,TRAPPIST-1e,27.0,0,279.0,605.0,3374.0,286.0,3.0,1,A,1,S
55,Earth,1,PSO J318.5-22,36.0,0,0.0,0.0,0.0,0.0,0.0,0,G,7,S
56,Earth,0,TRAPPIST-1e,22.0,0,45.0,1096.0,148.0,1377.0,1.0,0,F,12,S
57,Earth,0,TRAPPIST-1e,62.0,0,0.0,592.0,0.0,17.0,25.0,0,F,13,S
58,Mars,1,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,1,F,14,S
59,,1,TRAPPIST-1e,33.0,0,0.0,0.0,0.0,0.0,0.0,1,E,3,S
60,Earth,0,TRAPPIST-1e,62.0,0,1.0,153.0,197.0,0.0,460.0,0,G,6,P
61,Earth,1,PSO J318.5-22,0.0,0,0.0,0.0,0.0,0.0,0.0,1,G,10,S
62,Earth,0,TRAPPIST-1e,18.0,0,1.0,258.0,446.0,0.0,0.0,1,G,10,S
63,Earth,0,55 Cancri e,21.0,0,1946.0,37.0,0.0,0.0,24.0,0,F,15,S
64,Mars,0,TRAPPIST-1e,,0,793.0,0.0,2.0,253.0,0.0,0,E,4,S
65,Earth,0,TRAPPIST-1e,42.0,0,887.0,0.0,9.0,6.0,0.0,1,F,16,S
66,Earth,0,TRAPPIST-1e,19.0,0,190.0,0.0,5.0,1.0,726.0,0,F,13,P
67,Earth,0,TRAPPIST-1e,17.0,0,16.0,2165.0,0.0,0.0,52.0,0,F,14,P
68,Earth,0,TRAPPIST-1e,14.0,0,0.0,1.0,0.0,0.0,1063.0,0,F,17,S
69,Mars,0,PSO J318.5-22,37.0,0,46.0,83.0,738.0,0.0,12.0,0,D,3,P
70,Europa,0,TRAPPIST-1e,42.0,0,1.0,8397.0,0.0,0.0,506.0,1,C,3,S
71,Mars,0,TRAPPIST-1e,27.0,0,147.0,0.0,1018.0,0.0,0.0,1,F,18,S
72,Mars,0,TRAPPIST-1e,28.0,0,14.0,0.0,1295.0,0.0,0.0,1,F,15,P
74,Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,0,G,13,S
75,Mars,0,TRAPPIST-1e,42.0,0,7406.0,0.0,0.0,0.0,0.0,0,F,16,P
76,Mars,1,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,F,16,P
77,Mars,0,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,1,F,16,P
78,Earth,0,TRAPPIST-1e,24.0,0,688.0,0.0,0.0,0.0,17.0,1,G,14,S
79,Europa,1,TRAPPIST-1e,40.0,0,0.0,0.0,0.0,0.0,0.0,1,C,5,S
81,Mars,1,PSO J318.5-22,45.0,0,0.0,0.0,0.0,0.0,0.0,1,E,5,S
82,Earth,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,G,15,S
83,Earth,1,TRAPPIST-1e,26.0,0,,0.0,0.0,0.0,0.0,1,G,16,S
86,Earth,1,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,G,9,P
87,Earth,1,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,1,G,9,P
88,Europa,0,TRAPPIST-1e,54.0,0,0.0,1208.0,0.0,3.0,637.0,0,A,2,S
89,Earth,0,TRAPPIST-1e,26.0,0,0.0,856.0,5.0,32.0,0.0,0,G,11,P
90,Earth,0,TRAPPIST-1e,26.0,0,0.0,2811.0,957.0,0.0,87.0,1,G,11,P
91,Earth,0,PSO J318.5-22,23.0,0,311.0,427.0,526.0,37.0,0.0,0,F,19,P
92,Earth,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,G,12,P
94,Earth,0,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,830.0,91.0,0,F,23,S
95,Earth,0,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,17.0,1,F,24,S
96,Earth,1,55 Cancri e,9.0,0,0.0,0.0,0.0,0.0,0.0,1,G,18,S
97,Earth,1,TRAPPIST-1e,6.0,0,0.0,0.0,0.0,0.0,0.0,0,G,18,S
98,Earth,0,TRAPPIST-1e,27.0,0,0.0,0.0,570.0,2.0,131.0,0,F,21,P
99,Mars,0,TRAPPIST-1e,21.0,0,1743.0,5.0,17.0,0.0,0.0,0,D,2,S
100,Earth,1,TRAPPIST-1e,23.0,0,0.0,0.0,0.0,0.0,0.0,0,G,19,S
101,Earth,0,TRAPPIST-1e,31.0,0,562.0,0.0,326.0,0.0,0.0,0,G,19,S
102,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,G,19,S
103,Europa,0,TRAPPIST-1e,32.0,0,0.0,410.0,6.0,3929.0,764.0,0,,,
104,Europa,0,TRAPPIST-1e,40.0,0,0.0,331.0,0.0,0.0,1687.0,0,B,5,P
105,Europa,0,TRAPPIST-1e,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,1,B,5,P
106,Europa,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,1,B,5,P
107,Europa,1,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,0.0,0.0,1,E,6,S
108,Europa,0,55 Cancri e,48.0,1,0.0,2537.0,87.0,17.0,13.0,1,B,1,S
109,Earth,0,TRAPPIST-1e,64.0,0,0.0,0.0,804.0,0.0,0.0,1,F,23,P
110,Earth,0,TRAPPIST-1e,27.0,0,82.0,157.0,429.0,238.0,1.0,0,G,20,S
111,Mars,0,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,1,F,24,P
112,Europa,0,TRAPPIST-1e,33.0,0,1.0,2223.0,0.0,12.0,404.0,1,D,4,P
114,Europa,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,1,A,0,P
115,Mars,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,F,25,P
116,Earth,0,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,699.0,74.0,0,G,21,S
117,Earth,0,TRAPPIST-1e,18.0,0,55.0,597.0,49.0,0.0,1.0,0,F,27,P
118,Mars,1,TRAPPIST-1e,67.0,0,0.0,0.0,0.0,0.0,0.0,1,F,27,S
119,Mars,0,TRAPPIST-1e,35.0,0,701.0,0.0,296.0,0.0,25.0,0,E,7,S
120,Mars,0,TRAPPIST-1e,61.0,1,2353.0,334.0,9.0,316.0,2.0,0,D,3,S
121,Mars,0,TRAPPIST-1e,45.0,0,2103.0,6.0,0.0,0.0,0.0,0,E,8,S
122,Earth,1,PSO J318.5-22,22.0,0,0.0,0.0,0.0,0.0,0.0,1,G,22,S
123,Mars,1,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,1,F,29,S
124,Mars,0,TRAPPIST-1e,36.0,0,2738.0,0.0,0.0,0.0,0.0,0,D,5,S
125,Earth,0,TRAPPIST-1e,19.0,0,0.0,14.0,730.0,0.0,0.0,1,G,17,P
126,Earth,0,PSO J318.5-22,47.0,0,97.0,418.0,126.0,25.0,55.0,0,G,23,S
127,Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,1,G,18,P
128,Earth,0,,34.0,0,0.0,22.0,0.0,564.0,207.0,0,E,5,P
129,Europa,1,55 Cancri e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,C,6,S
130,Earth,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,G,19,P
131,Earth,0,TRAPPIST-1e,26.0,0,440.0,0.0,0.0,0.0,462.0,0,F,29,P
132,Mars,0,TRAPPIST-1e,31.0,0,,0.0,97.0,0.0,0.0,0,F,30,P
133,Earth,0,TRAPPIST-1e,20.0,0,0.0,420.0,210.0,0.0,0.0,1,F,31,S
134,Earth,0,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0,0,G,25,S
135,Earth,1,TRAPPIST-1e,50.0,0,0.0,0.0,0.0,0.0,0.0,1,G,26,S
137,Earth,1,55 Cancri e,,0,0.0,0.0,0.0,0.0,0.0,1,G,27,S
138,Earth,1,55 Cancri e,38.0,0,0.0,0.0,0.0,0.0,0.0,0,G,20,P
139,Earth,0,,41.0,0,0.0,0.0,0.0,0.0,607.0,0,F,32,P
140,Earth,0,TRAPPIST-1e,22.0,0,4119.0,0.0,0.0,0.0,61.0,0,G,22,P
142,Europa,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,1,B,8,P
143,Earth,0,TRAPPIST-1e,57.0,0,50.0,1688.0,0.0,0.0,135.0,1,G,28,S
144,Earth,1,PSO J318.5-22,17.0,0,0.0,0.0,0.0,0.0,0.0,0,G,28,S
146,Mars,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,1,F,35,S
147,Mars,0,TRAPPIST-1e,27.0,0,1365.0,0.0,48.0,22.0,137.0,0,F,35,S
148,Earth,1,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,0,G,23,P
149,Earth,0,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,221.0,567.0,0,E,10,S
150,Earth,1,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,1,G,30,S
151,Earth,1,TRAPPIST-1e,32.0,0,0.0,0.0,0.0,0.0,0.0,1,G,24,P
152,Earth,0,TRAPPIST-1e,58.0,0,0.0,985.0,0.0,5.0,0.0,1,E,11,S
153,Earth,0,55 Cancri e,21.0,0,287.0,0.0,16.0,115.0,175.0,0,F,38,P
154,Europa,0,TRAPPIST-1e,38.0,0,0.0,10346.0,1.0,14970.0,2111.0,0,B,2,S
155,Mars,0,TRAPPIST-1e,38.0,0,3414.0,0.0,161.0,28.0,119.0,0,D,6,S
156,Earth,0,TRAPPIST-1e,19.0,0,1.0,219.0,673.0,2.0,11.0,1,G,26,P
157,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,0,G,26,P
158,Earth,0,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,1,G,26,P
160,Europa,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,C,3,P
161,Earth,0,TRAPPIST-1e,37.0,0,17.0,146.0,426.0,0.0,232.0,1,F,36,S
162,Earth,0,TRAPPIST-1e,25.0,0,62.0,0.0,0.0,0.0,956.0,0,G,28,P
163,Earth,1,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0,1,G,31,S
164,Earth,0,55 Cancri e,49.0,0,84.0,3.0,401.0,202.0,98.0,0,E,8,P
165,Earth,1,55 Cancri e,11.0,0,0.0,0.0,0.0,0.0,0.0,0,G,32,S
166,Earth,1,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,1,G,29,P
167,Earth,0,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,0,G,29,P
168,Earth,0,TRAPPIST-1e,39.0,0,0.0,0.0,10.0,898.0,0.0,0,G,29,P
170,Mars,0,TRAPPIST-1e,23.0,0,,0.0,8.0,1072.0,0.0,0,F,41,P
171,Mars,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,F,41,P
173,Mars,0,PSO J318.5-22,25.0,0,1052.0,0.0,719.0,0.0,7.0,0,D,5,P
174,Europa,0,TRAPPIST-1e,36.0,0,0.0,972.0,0.0,795.0,575.0,0,C,5,P
175,Earth,0,PSO J318.5-22,52.0,0,0.0,0.0,0.0,0.0,0.0,1,G,30,P
176,Earth,1,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,0.0,0.0,0,G,33,S
177,Earth,1,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,1,G,31,P
178,Europa,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,B,3,S
179,Europa,1,TRAPPIST-1e,47.0,0,0.0,0.0,0.0,0.0,0.0,1,B,3,S
180,Europa,1,55 Cancri e,45.0,0,0.0,0.0,0.0,0.0,0.0,1,B,9,P
181,Europa,0,55 Cancri e,,0,0.0,2433.0,0.0,878.0,443.0,1,A,2,P
182,Europa,1,TRAPPIST-1e,51.0,0,0.0,0.0,0.0,0.0,0.0,1,C,8,S
183,Earth,0,TRAPPIST-1e,29.0,0,0.0,2.0,66.0,0.0,705.0,0,G,34,S
184,Europa,0,55 Cancri e,,0,2.0,1720.0,12.0,1125.0,122.0,1,C,9,S
185,Earth,1,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,0,G,32,P
187,Mars,0,TRAPPIST-1e,29.0,0,902.0,1.0,137.0,0.0,0.0,1,F,44,P
188,Mars,1,TRAPPIST-1e,11.0,0,0.0,0.0,0.0,0.0,0.0,1,F,44,P
189,Mars,0,TRAPPIST-1e,17.0,0,848.0,0.0,307.0,182.0,0.0,0,F,44,P
190,Earth,0,TRAPPIST-1e,13.0,0,192.0,0.0,0.0,51.0,739.0,0,E,9,P
191,Earth,0,TRAPPIST-1e,35.0,0,147.0,188.0,0.0,10.0,387.0,0,F,45,P
193,Earth,0,55 Cancri e,21.0,0,0.0,56.0,0.0,0.0,1918.0,0,F,40,S
194,Earth,0,TRAPPIST-1e,38.0,0,1517.0,0.0,0.0,27.0,0.0,0,F,47,P
195,Earth,1,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,1,G,36,P
196,Earth,1,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,G,37,P
197,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,G,37,P
198,Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,0,G,37,P
199,Earth,0,TRAPPIST-1e,25.0,0,122.0,84.0,0.0,0.0,0.0,0,E,10,P
200,Earth,0,TRAPPIST-1e,16.0,0,0.0,3.0,0.0,0.0,1099.0,0,F,48,P
201,Earth,0,55 Cancri e,1.0,0,0.0,0.0,0.0,0.0,0.0,0,G,37,P
202,Earth,1,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,1,G,37,P
203,Mars,0,55 Cancri e,21.0,0,2237.0,0.0,119.0,0.0,0.0,0,E,13,S
205,Mars,0,TRAPPIST-1e,33.0,0,1933.0,12.0,188.0,1.0,0.0,0,E,13,S
208,Mars,0,TRAPPIST-1e,16.0,0,915.0,0.0,221.0,234.0,0.0,0,E,13,S
210,Mars,0,TRAPPIST-1e,20.0,0,1406.0,0.0,0.0,11.0,0.0,0,F,41,S
212,Mars,1,TRAPPIST-1e,16.0,0,0.0,0.0,0.0,0.0,0.0,1,E,14,S
214,Mars,0,TRAPPIST-1e,32.0,1,181.0,0.0,5.0,1634.0,0.0,0,F,42,S
215,Earth,1,PSO J318.5-22,58.0,0,0.0,0.0,0.0,0.0,0.0,1,G,38,P
216,Earth,0,TRAPPIST-1e,24.0,0,4.0,7.0,0.0,713.0,79.0,0,F,43,S
217,Mars,0,TRAPPIST-1e,30.0,0,85.0,0.0,1.0,1720.0,0.0,0,F,44,S
220,Earth,0,TRAPPIST-1e,43.0,0,,888.0,0.0,0.0,0.0,0,F,50,P
221,Europa,1,TRAPPIST-1e,42.0,0,0.0,0.0,0.0,0.0,0.0,1,B,11,P
222,Mars,0,TRAPPIST-1e,37.0,0,637.0,0.0,0.0,92.0,319.0,0,,,
223,Mars,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,F,52,P
224,Europa,0,55 Cancri e,33.0,0,0.0,1249.0,0.0,4812.0,1116.0,0,E,11,P
225,,0,TRAPPIST-1e,18.0,0,313.0,1.0,691.0,283.0,0.0,0,F,46,S
226,Earth,1,TRAPPIST-1e,21.0,0,0.0,0.0,0.0,0.0,0.0,0,G,37,S
227,Mars,1,TRAPPIST-1e,43.0,0,0.0,0.0,0.0,0.0,0.0,1,,,
228,Mars,1,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,1,F,47,S
229,Europa,0,55 Cancri e,46.0,0,0.0,3571.0,0.0,0.0,7.0,1,C,6,P
230,Europa,0,TRAPPIST-1e,33.0,0,0.0,86.0,796.0,584.0,10912.0,0,C,6,P
231,Mars,0,TRAPPIST-1e,21.0,0,2947.0,0.0,287.0,27.0,0.0,0,D,8,P
232,Europa,0,TRAPPIST-1e,33.0,0,0.0,1.0,0.0,8620.0,1063.0,0,C,10,S
233,Earth,1,PSO J318.5-22,47.0,0,,0.0,0.0,0.0,0.0,0,G,38,S
234,,1,55 Cancri e,54.0,0,0.0,0.0,0.0,0.0,0.0,1,C,11,S
235,Earth,0,TRAPPIST-1e,30.0,0,335.0,695.0,541.0,0.0,0.0,0,F,53,P
236,Earth,0,TRAPPIST-1e,29.0,0,272.0,615.0,0.0,0.0,1.0,0,G,42,P
237,Earth,0,TRAPPIST-1e,21.0,0,702.0,172.0,408.0,2.0,6.0,1,F,54,P
239,Mars,0,55 Cancri e,21.0,0,1664.0,0.0,0.0,0.0,0.0,0,F,49,S
240,Mars,1,TRAPPIST-1e,60.0,0,0.0,0.0,0.0,0.0,0.0,1,F,49,S
241,Earth,0,TRAPPIST-1e,22.0,0,0.0,0.0,313.0,299.0,92.0,0,F,50,S
242,Europa,0,TRAPPIST-1e,26.0,0,0.0,4810.0,0.0,981.0,2054.0,0,E,16,S
243,Earth,0,TRAPPIST-1e,26.0,0,66.0,29.0,0.0,0.0,803.0,0,F,56,P
244,Earth,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,1,G,43,P
245,Europa,1,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,1,D,8,S
246,Earth,0,TRAPPIST-1e,13.0,0,118.0,0.0,0.0,754.0,1.0,0,F,51,S
247,Earth,0,55 Cancri e,47.0,0,0.0,231.0,592.0,0.0,0.0,1,F,52,S
249,Europa,1,55 Cancri e,,0,0.0,0.0,0.0,0.0,0.0,1,D,9,S
250,Earth,0,55 Cancri e,50.0,0,44.0,2390.0,0.0,53.0,0.0,1,F,61,P
251,Earth,0,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,888.0,0.0,0,,,
252,Earth,0,TRAPPIST-1e,45.0,0,0.0,97.0,0.0,14.0,333.0,0,G,45,P
253,Earth,0,TRAPPIST-1e,19.0,0,0.0,0.0,2078.0,0.0,0.0,1,F,63,P
254,Earth,0,TRAPPIST-1e,21.0,0,0.0,918.0,0.0,0.0,0.0,1,F,54,S
255,Earth,1,PSO J318.5-22,29.0,0,0.0,0.0,0.0,0.0,0.0,1,G,46,P
256,Earth,0,TRAPPIST-1e,22.0,0,146.0,654.0,1.0,0.0,2.0,1,F,64,P
257,Europa,1,TRAPPIST-1e,14.0,0,0.0,0.0,0.0,0.0,0.0,1,E,16,P
259,Earth,0,55 Cancri e,57.0,0,3.0,1281.0,29.0,162.0,13.0,0,F,65,P
260,Europa,1,55 Cancri e,39.0,0,0.0,0.0,0.0,0.0,0.0,1,,,
261,Europa,0,TRAPPIST-1e,28.0,0,0.0,587.0,32.0,6.0,1460.0,0,B,12,P
262,Earth,0,55 Cancri e,19.0,0,0.0,0.0,0.0,0.0,828.0,0,F,55,S
263,Europa,1,55 Cancri e,19.0,0,0.0,0.0,0.0,0.0,0.0,1,C,12,S
264,Europa,0,55 Cancri e,26.0,0,0.0,4458.0,0.0,1157.0,262.0,1,B,7,S
265,Europa,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,1,B,7,S
266,Europa,0,TRAPPIST-1e,43.0,0,0.0,0.0,0.0,0.0,0.0,1,B,7,S
267,Europa,0,55 Cancri e,9.0,0,0.0,0.0,0.0,0.0,0.0,1,B,7,S
268,Europa,0,TRAPPIST-1e,40.0,0,0.0,6500.0,88.0,1090.0,0.0,1,D,10,S
269,Europa,1,TRAPPIST-1e,50.0,0,0.0,0.0,0.0,0.0,0.0,1,B,8,S
270,Earth,0,TRAPPIST-1e,24.0,0,90.0,2.0,1324.0,17.0,0.0,1,G,47,P
271,Europa,1,55 Cancri e,57.0,0,0.0,0.0,0.0,0.0,0.0,1,A,3,P
272,Earth,1,TRAPPIST-1e,16.0,0,0.0,0.0,0.0,0.0,0.0,0,,,
273,Earth,0,TRAPPIST-1e,23.0,0,0.0,0.0,15.0,0.0,1370.0,0,F,67,P
275,Europa,0,TRAPPIST-1e,28.0,0,0.0,422.0,0.0,1851.0,5166.0,0,E,18,S
276,Europa,0,55 Cancri e,23.0,0,0.0,584.0,0.0,20.0,2469.0,0,C,7,P
278,Earth,0,TRAPPIST-1e,18.0,0,0.0,0.0,1359.0,0.0,0.0,1,F,59,S
279,Earth,0,TRAPPIST-1e,18.0,0,1194.0,0.0,157.0,6.0,0.0,0,F,60,S
281,Earth,0,PSO J318.5-22,60.0,0,7.0,540.0,1.0,0.0,4.0,1,F,68,P
282,Earth,1,55 Cancri e,,0,0.0,0.0,0.0,0.0,0.0,1,G,50,P
283,Earth,0,55 Cancri e,49.0,0,331.0,0.0,0.0,318.0,0.0,1,F,68,P
284,Earth,0,55 Cancri e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,G,50,P
285,Earth,0,55 Cancri e,26.0,0,386.0,0.0,74.0,0.0,1330.0,0,G,51,P
286,,1,PSO J318.5-22,35.0,0,0.0,0.0,0.0,0.0,0.0,1,G,42,S
287,Europa,0,TRAPPIST-1e,24.0,0,0.0,2628.0,0.0,170.0,0.0,1,B,9,S
288,Europa,1,TRAPPIST-1e,20.0,0,0.0,0.0,0.0,0.0,0.0,1,B,9,S
289,Earth,0,TRAPPIST-1e,18.0,0,0.0,2.0,0.0,0.0,0.0,0,G,44,S
290,Earth,0,TRAPPIST-1e,21.0,0,0.0,5.0,3.0,0.0,0.0,0,G,44,S
293,Earth,1,55 Cancri e,43.0,0,0.0,0.0,0.0,0.0,0.0,0,G,53,P
294,Earth,1,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,0.0,0.0,0,G,47,S
295,Earth,0,TRAPPIST-1e,19.0,0,17.0,0.0,784.0,0.0,2.0,1,,,
296,Europa,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,C,14,S
297,Europa,0,TRAPPIST-1e,32.0,0,247.0,4651.0,0.0,46.0,202.0,1,C,14,S
299,Earth,0,TRAPPIST-1e,25.0,0,0.0,0.0,251.0,0.0,552.0,0,F,72,P
302,Earth,0,TRAPPIST-1e,44.0,0,695.0,1.0,16.0,0.0,0.0,0,F,74,P
303,Mars,1,55 Cancri e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,F,63,S
304,Mars,0,TRAPPIST-1e,19.0,0,417.0,349.0,634.0,3.0,1057.0,1,F,63,S
305,Mars,0,55 Cancri e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,F,63,S
306,Earth,1,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,0.0,0.0,1,G,48,S
307,Europa,1,55 Cancri e,38.0,0,0.0,0.0,0.0,0.0,0.0,1,B,10,S
